Permit Number,Permittee Name,Project Name,Mechanical or Non-Mechanical,County,City,Lat.,Long.,HUC 8 ID#,Watershed Name,Discharge Stream,Class,Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0064611,City of Camden,Camden Wastewater Treatment Facility,Non-Mechanical Lagoon,Benton,Camden,36.0475,-88.074722,06040005,Kentucky Lake,Cypress Creek at mile 12.8,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0022993,Town of Carthage,Without Borders,Mechanical - Suspended Growth,Smith,Carthage,36.250425,-85.955257,05130201,Old Hickory Lake,Cumberland River (Old Hickory Reservoir) at mile 308,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0026263,Caryville-Jacksboro Utilities Commission,Caryville-Jacksboro Utilities Commission STP,Mechanical - Suspended Growth,Campbell,Caryville,36.307109,-84.199742,06010205,Upper Clinch River,Cove Creek Embayment of Norris Lake at mile 15.9,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0063886,City of Celina,Municipal STP,Non-Mechanical Lagoon,Clay,Celina,36.5475,-85.517777,05130106,Cordell Hull Reservoir,Cumberland River at mile 380.7 (Cordell Hull Lake),M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0024937,Town of Centerville,Centerville STP,Mechanical - Suspended Growth,Hickman,Centerville,35.781667,-87.475833,06040003,Lower Duck River,Duck River at mile 71.5,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0062073,"Limestone Water Utility Operating Company, LLC",Chapel Woods Subdivision STP,Non-Mechanical Septic System,Marshall,Chapel Hill,35.60278,-86.75236,06040002,Upper Duck River,Duck River at mile 177.5,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0064670,Town of Chapel Hill,Chapel Hill STP,Mechanical - Suspended Growth,Marshall,Chapel Hill,35.595962,-86.705655,06040002,Upper Duck River,Duck River at mile 185.5,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0024210,City of Chattanooga,Moccasin Bend WWTP & Combined Sewer System,Mechanical - Suspended Growth,Hamilton,Chattanooga,35.051951,-85.335379,06020001,Lower Tennessee River,"Tennessee River (Nickajack Reservoir) miles 457.8 (001-WWTP), 465.2 (004-Citico), 463.3 (005-Tremont, 462.7 (007-M.L. King Blvd.), 464 (006-Ross's Landing), 462.5 (008-19th St.), 461.6 (009-Carter St.), and Chattanooga Creek miles 2.0 (002-Central Ave.) and 1.4 (003-Williams St.).",M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0064947,"River Landing Condominium Owners Association, Inc.
",River Landing Drip Wastewater Plant,Mechanical - Attached Growth,Marion,Chattanooga,35.121389,-85.391667,06020001,Lower Tennessee River,Tennessee River at mile 451.7,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0021253,City of Church Hill,Church Hill WWTP,Mechanical - Suspended Growth,Hawkins,Church Hill,36.523783,-82.685442,06010104,Holston River,Holston River at mile 136.5,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
